id,user_id,plan_id,payhere_subscription_id,status,start_date,end_date,current_period_start,current_period_end,cancel_at_period_end,created_at,updated_at,canceled_at
00e1d980-6b8c-4fc1-9d99-5f7cacdbf383,979aba0e-93ca-4bc5-8f51-ea628822844e,98fdfbea-d093-4a93-990e-0b7b709e093b,,pending,2025-12-22 06:15:06.368,,,,false,2025-12-22 06:15:08.895612,2025-12-22 06:15:08.895612,
0acafa26-1cbd-42c8-bdc0-6d59df045a93,c4c0dc19-8e55-4bb7-8c34-25200ed01a23,34db65db-eec8-492a-b4a4-208ec912efa8,,canceled,2025-12-23 13:36:46.108,,2025-12-23 13:36:46.108,2025-12-26 14:25:02.307,false,2025-12-23 13:36:46.755804,2025-12-23 13:36:46.755804,2025-12-26 14:25:02.307+00
0ccb1111-cad8-4dbf-aa4b-f072d51de8cb,979aba0e-93ca-4bc5-8f51-ea628822844e,98fdfbea-d093-4a93-990e-0b7b709e093b,,pending,2025-12-22 06:04:28.105,,,,false,2025-12-22 06:04:30.630041,2025-12-22 06:04:30.630041,
141f87ef-87a3-476a-81cf-cb49dabc8fcd,979aba0e-93ca-4bc5-8f51-ea628822844e,bc40237f-5464-4a5e-aa42-b9c655853d5f,,pending,2025-12-22 06:20:56.408,,,,false,2025-12-22 06:20:58.933785,2025-12-22 06:20:58.933785,
2fb7dcb0-1050-45e6-8bd5-c8bb8a2b1e72,979aba0e-93ca-4bc5-8f51-ea628822844e,bc40237f-5464-4a5e-aa42-b9c655853d5f,,active,2025-12-22 06:21:02.869,,2025-12-22 06:21:23.666,2026-01-21 06:21:23.666,false,2025-12-22 06:21:05.439743,2025-12-22 06:21:23.666,
45c3f7aa-639c-45ca-8e51-ab5b790af50e,5e3cf50b-59b5-477e-9840-6c75595c3ab9,34db65db-eec8-492a-b4a4-208ec912efa8,,active,2025-12-21 15:50:34.032,,2025-12-21 15:50:34.03,2026-01-20 15:50:34.032,false,2025-12-21 15:50:34.378872,2025-12-21 15:50:34.378872,
522cbd14-80dd-42f6-8599-4c24d5b68542,979aba0e-93ca-4bc5-8f51-ea628822844e,34db65db-eec8-492a-b4a4-208ec912efa8,manual-pro-e3a9b921-d1f0-41aa-bcbf-b0b3f2b2fce5,cancelled,2025-12-19 11:07:44.895913,,2025-12-19 11:07:44.895913,2026-01-21 06:13:21.124,false,2025-12-19 11:07:44.895913,2025-12-19 11:07:44.895913,
54396438-2b91-462f-9db0-1a4ef596d17c,c1daa7f0-0dab-4530-9bdd-419a3016fc74,34db65db-eec8-492a-b4a4-208ec912efa8,,active,2025-12-21 15:50:36.795,,2025-12-21 15:50:36.795,2026-01-20 15:50:36.795,false,2025-12-21 15:50:37.152881,2025-12-21 15:50:37.152881,
583e8884-c9d8-4470-850e-3e4badffbc9a,979aba0e-93ca-4bc5-8f51-ea628822844e,98fdfbea-d093-4a93-990e-0b7b709e093b,,pending,2025-12-22 06:15:07.415,,,,false,2025-12-22 06:15:09.947225,2025-12-22 06:15:09.947225,
83768bc8-99fc-4ffd-8cfc-e2e9d9edbc29,1a282b97-9743-4447-973d-fbfa86743e99,34db65db-eec8-492a-b4a4-208ec912efa8,,active,2025-12-19 18:25:05.442147,,,,false,2025-12-19 18:25:05.442147,2025-12-19 18:25:05.442147,
849d276d-f1b6-4c9c-9610-ae6c9d7df119,c4c0dc19-8e55-4bb7-8c34-25200ed01a23,34db65db-eec8-492a-b4a4-208ec912efa8,,canceled,2025-12-23 11:42:32.227,,2025-12-23 12:12:05.28,2025-12-26 14:25:02.307,false,2025-12-23 11:42:32.351084,2025-12-23 12:14:27.868,2025-12-26 14:25:02.307+00
8fbbb9a8-1b98-4b1e-9348-263d01c29aa2,c4c0dc19-8e55-4bb7-8c34-25200ed01a23,98fdfbea-d093-4a93-990e-0b7b709e093b,,canceled,2025-12-21 14:46:43.054,,2025-12-21 14:46:43.053,2025-12-26 14:25:02.307,false,2025-12-21 14:46:43.391433,2025-12-21 14:46:43.391433,2025-12-26 14:25:02.307+00
be446e83-de42-43b5-bc13-891d123339f1,c4c0dc19-8e55-4bb7-8c34-25200ed01a23,98fdfbea-d093-4a93-990e-0b7b709e093b,,canceled,2025-12-23 13:36:23.888,,2025-12-23 13:36:23.888,2025-12-26 14:25:02.307,false,2025-12-23 13:36:24.448972,2025-12-23 13:36:24.448972,2025-12-26 14:25:02.307+00
c2921871-8451-49c9-9b29-4b217d5a440c,11cba889-f723-42b5-a5f8-5e2ca81946af,34db65db-eec8-492a-b4a4-208ec912efa8,,active,2025-12-21 15:50:35.678,,2025-12-21 15:50:35.678,2026-01-20 15:50:35.678,false,2025-12-21 15:50:36.149289,2025-12-21 15:50:36.149289,
c93eafce-6341-45b0-8cdc-f27755d72660,c4c0dc19-8e55-4bb7-8c34-25200ed01a23,98fdfbea-d093-4a93-990e-0b7b709e093b,,active,2025-12-26 14:25:02.562,,2025-12-26 14:25:02.562,2026-01-25 14:25:02.562,false,2025-12-26 14:25:07.906637,2025-12-26 14:25:07.906637,
d696b09d-bae8-40db-ae95-adbfba6d36ce,979aba0e-93ca-4bc5-8f51-ea628822844e,98fdfbea-d093-4a93-990e-0b7b709e093b,,cancelled,2025-12-22 06:19:05.941,,2025-12-22 06:19:41.177,2026-01-21 06:19:41.177,false,2025-12-22 06:19:08.466151,2025-12-22 06:19:41.177,
d8466561-2547-4d0b-bcba-890f88dcca04,979aba0e-93ca-4bc5-8f51-ea628822844e,98fdfbea-d093-4a93-990e-0b7b709e093b,,pending,2025-12-22 06:13:42.096,,,,false,2025-12-22 06:13:44.674567,2025-12-22 06:13:44.674567,
e3b5a8ec-d682-454c-8b46-756e38324bea,e991cd80-b44f-4d69-8354-9db7921ef1bb,98fdfbea-d093-4a93-990e-0b7b709e093b,,active,2025-12-19 17:32:01.433662,,,2026-01-22 12:15:51.744,true,2025-12-19 17:32:01.433662,2025-12-23 12:18:15.325,
e96ee7f8-e4e0-4dbd-9a47-1cba3938cca9,979aba0e-93ca-4bc5-8f51-ea628822844e,98fdfbea-d093-4a93-990e-0b7b709e093b,,pending,2025-12-22 06:18:57.72,,,,false,2025-12-22 06:19:00.252468,2025-12-22 06:19:00.252468,
f6a95fbf-3a1d-48ae-bd80-2b6752effdc6,c4c0dc19-8e55-4bb7-8c34-25200ed01a23,bc40237f-5464-4a5e-aa42-b9c655853d5f,,canceled,2025-12-23 11:34:55.48,,,2025-12-26 14:25:02.307,false,2025-12-23 11:34:55.617811,2025-12-23 11:34:55.617811,2025-12-26 14:25:02.307+00